index,Estimator,Training score,Validation score,Scoring,Features dropped
0,SVC,0.8310623200329084,0.8140682846565199,accuracy,0
1,SVC,0.8321986836692719,0.8140682846565199,accuracy,1
2,SVC,0.8310623200329084,0.8163358700123406,accuracy,2
3,SVC,0.8310623200329084,0.8163358700123406,accuracy,3
4,SVC,0.8310623200329084,0.8151995063759769,accuracy,4
5,SVC,0.8321986836692719,0.8151995063759769,accuracy,5
6,SVC,0.8321986836692719,0.8151995063759769,accuracy,6
7,SVC,0.8321986836692719,0.8151943644590703,accuracy,7
8,SVC,0.8321986836692719,0.8163255861785274,accuracy,8
9,SVC,0.8321986836692719,0.8163255861785274,accuracy,9
10,SVC,0.8321986836692719,0.8163255861785274,accuracy,10
11,SVC,0.8321986836692719,0.8151892225421637,accuracy,11
12,SVC,0.8321986836692719,0.8151892225421637,accuracy,12
13,SVC,0.8310674619498148,0.8140580008227067,accuracy,13
14,SVC,0.8310674619498148,0.8140580008227067,accuracy,14
15,SVC,0.8321986836692719,0.8163255861785274,accuracy,15
16,SVC,0.8322038255861786,0.8151995063759769,accuracy,16
17,SVC,0.8310623200329084,0.8118006993006993,accuracy,17
18,SVC,0.8367389962978198,0.8140682846565199,accuracy,18
19,SVC,0.8333350473056356,0.8061291649526944,accuracy,19
20,SVC,0.8321986836692719,0.80272521596051,accuracy,20
21,SVC,0.8322038255861786,0.8004576306046894,accuracy,21
22,SVC,0.8299362402303578,0.801593994241053,accuracy,22
23,SVC,0.8231489099136158,0.7959276018099548,accuracy,23
24,SVC,0.8242749897161662,0.800462772521596,accuracy,24
25,SVC,0.8254113533525298,0.8015888523241465,accuracy,25
26,SVC,0.8265425750719868,0.8061240230357878,accuracy,26
27,SVC,0.8254062114356232,0.8072552447552448,accuracy,27
28,SVC,0.8197449609214316,0.8072346770876182,accuracy,28
29,SVC,0.8174876593994241,0.807224393253805,accuracy,29
30,SVC,0.8072501028383381,0.7834327437268613,accuracy,30
31,SVC,0.7970331139448787,0.7868264088852324,accuracy,31
32,SVC,0.7959173179761414,0.7947758124228712,accuracy,32
33,SVC,0.7823118058412176,0.7800390785684903,accuracy,33
34,SVC,0.6576151789387084,0.647423899629782,accuracy,34
35,LGBMClassifier,0.9784707939119703,0.809527972027972,accuracy,0
36,LGBMClassifier,0.9784707939119703,0.809527972027972,accuracy,1
37,LGBMClassifier,0.9784707939119703,0.809527972027972,accuracy,2
38,LGBMClassifier,0.9784707939119703,0.809527972027972,accuracy,3
39,LGBMClassifier,0.9784707939119703,0.809527972027972,accuracy,4
40,LGBMClassifier,0.9796020156314273,0.799331550802139,accuracy,5
41,LGBMClassifier,0.9784656519950637,0.801593994241053,accuracy,6
42,LGBMClassifier,0.9784656519950637,0.801593994241053,accuracy,7
43,LGBMClassifier,0.9784656519950637,0.801593994241053,accuracy,8
44,LGBMClassifier,0.9796020156314273,0.8083916083916084,accuracy,9
45,LGBMClassifier,0.9796020156314273,0.811790415466886,accuracy,10
46,LGBMClassifier,0.9796020156314273,0.8095176881941588,accuracy,11
47,LGBMClassifier,0.9773344302756067,0.8083864664747018,accuracy,12
48,LGBMClassifier,0.9773344302756067,0.8083864664747018,accuracy,13
49,LGBMClassifier,0.9773344302756067,0.8083864664747018,accuracy,14
50,LGBMClassifier,0.9773344302756067,0.8083864664747018,accuracy,15
51,LGBMClassifier,0.9750719868366927,0.8084018922254217,accuracy,16
52,LGBMClassifier,0.9750719868366927,0.8084018922254217,accuracy,17
53,LGBMClassifier,0.9750719868366927,0.8106746194981489,accuracy,18
54,LGBMClassifier,0.97734471410942,0.8118058412176059,accuracy,19
55,LGBMClassifier,0.9773292883587001,0.8106746194981489,accuracy,20
56,LGBMClassifier,0.9761980666392431,0.8118058412176059,accuracy,21
57,LGBMClassifier,0.9762032085561497,0.8061497326203209,accuracy,22
58,LGBMClassifier,0.9773292883587001,0.7947963800904978,accuracy,23
59,LGBMClassifier,0.9784656519950637,0.8004576306046894,accuracy,24
60,LGBMClassifier,0.9784656519950637,0.8004576306046894,accuracy,25
61,LGBMClassifier,0.9784656519950637,0.8004576306046894,accuracy,26
62,LGBMClassifier,0.9716628959276018,0.7845999588646648,accuracy,27
63,LGBMClassifier,0.9591834635952283,0.8004884821061291,accuracy,28
64,LGBMClassifier,0.9535376388317565,0.7993264088852323,accuracy,29
65,LGBMClassifier,0.9512751953928424,0.7936548745372274,accuracy,30
66,LGBMClassifier,0.9342605923488276,0.776650555327026,accuracy,31
67,LGBMClassifier,0.9285839160839161,0.7721308103661044,accuracy,32
68,LGBMClassifier,0.8435571781160016,0.7495063759769642,accuracy,33
69,LGBMClassifier,0.7392533936651584,0.6224290415466887,accuracy,34
70,LogisticRegression,0.8401532291238174,0.8061034553681612,accuracy,0
71,LogisticRegression,0.8401532291238174,0.8049670917317976,accuracy,1
72,LogisticRegression,0.8424156725627314,0.8072398190045249,accuracy,2
73,LogisticRegression,0.8412844508432744,0.8095074043603455,accuracy,3
74,LogisticRegression,0.8424156725627314,0.8083710407239819,accuracy,4
75,LogisticRegression,0.8378856437679967,0.8083761826408885,accuracy,5
76,LogisticRegression,0.842420814479638,0.8061034553681612,accuracy,6
77,LogisticRegression,0.8401532291238174,0.8094971205265322,accuracy,7
78,LogisticRegression,0.8401532291238174,0.8094971205265322,accuracy,8
79,LogisticRegression,0.8401532291238174,0.8083710407239819,accuracy,9
80,LogisticRegression,0.8367544220485397,0.8095074043603455,accuracy,10
81,LogisticRegression,0.8367647058823529,0.8095074043603455,accuracy,11
82,LogisticRegression,0.8367647058823529,0.8117749897161661,accuracy,12
83,LogisticRegression,0.8333556149732619,0.8095125462772521,accuracy,13
84,LogisticRegression,0.8333556149732619,0.8106489099136158,accuracy,14
85,LogisticRegression,0.8288255861785274,0.811790415466886,accuracy,15
86,LogisticRegression,0.8288307280954339,0.810659193747429,accuracy,16
87,LogisticRegression,0.8254164952694365,0.815184080625257,accuracy,17
88,LogisticRegression,0.8254164952694365,0.8140528589058,accuracy,18
89,LogisticRegression,0.8254113533525298,0.8106540518305224,accuracy,19
90,LogisticRegression,0.8152046482928836,0.8095228301110654,accuracy,20
91,LogisticRegression,0.8174773755656108,0.8129113533525298,accuracy,21
92,LogisticRegression,0.8129319210201563,0.8140425750719869,accuracy,22
93,LogisticRegression,0.8038564376799671,0.8004216371863431,accuracy,23
94,LogisticRegression,0.8061085972850679,0.8026943644590703,accuracy,24
95,LogisticRegression,0.8049568078979843,0.8072346770876182,accuracy,25
96,LogisticRegression,0.8106334841628959,0.8083710407239819,accuracy,26
97,LogisticRegression,0.8072346770876182,0.8061034553681612,accuracy,27
98,LogisticRegression,0.8038512957630605,0.7981797614150555,accuracy,28
99,LogisticRegression,0.8015991361579596,0.7959018922254217,accuracy,29
100,LogisticRegression,0.7936445907034142,0.782306663924311,accuracy,30
101,LogisticRegression,0.783412176059235,0.7822912381735911,accuracy,31
102,LogisticRegression,0.792503085150144,0.7936445907034142,accuracy,32
103,LogisticRegression,0.7766299876593994,0.7766454134101193,accuracy,33
104,LogisticRegression,0.6667060880296174,0.659898190045249,accuracy,34
105,KNeighborsClassifier,0.8435623200329083,0.7721051007815714,accuracy,0
106,KNeighborsClassifier,0.8435623200329083,0.7721051007815714,accuracy,1
107,KNeighborsClassifier,0.8435623200329083,0.7732414644179351,accuracy,2
108,KNeighborsClassifier,0.8435623200329083,0.7766454134101193,accuracy,3
109,KNeighborsClassifier,0.8446935417523653,0.777781777046483,accuracy,4
110,KNeighborsClassifier,0.842420814479638,0.7777869189633896,accuracy,5
111,KNeighborsClassifier,0.8435623200329083,0.7709944467297408,accuracy,6
112,KNeighborsClassifier,0.8469662690250925,0.7823220896750309,accuracy,7
113,KNeighborsClassifier,0.8515014397367339,0.7811908679555739,accuracy,8
114,KNeighborsClassifier,0.8526429452900042,0.7868675442204853,accuracy,9
115,KNeighborsClassifier,0.8515014397367339,0.7879987659399423,accuracy,10
116,KNeighborsClassifier,0.8503650761003703,0.7891299876593993,accuracy,11
117,KNeighborsClassifier,0.8492184286301934,0.7823272315919375,accuracy,12
118,KNeighborsClassifier,0.8492184286301934,0.7823220896750309,accuracy,13
119,KNeighborsClassifier,0.845814479638009,0.785715754833402,accuracy,14
120,KNeighborsClassifier,0.845814479638009,0.786846976552859,accuracy,15
121,KNeighborsClassifier,0.8492184286301934,0.7891197038255862,accuracy,16
122,KNeighborsClassifier,0.8480872069107364,0.7891248457424929,accuracy,17
123,KNeighborsClassifier,0.8492132867132867,0.7902612093788564,accuracy,18
124,KNeighborsClassifier,0.846945701357466,0.785715754833402,accuracy,19
125,KNeighborsClassifier,0.845814479638009,0.7845845331139449,accuracy,20
126,KNeighborsClassifier,0.8480717811600165,0.783437885643768,accuracy,21
127,KNeighborsClassifier,0.8469508432743726,0.7834893048128342,accuracy,22
128,KNeighborsClassifier,0.8446883998354586,0.7812217194570136,accuracy,23
129,KNeighborsClassifier,0.854879679144385,0.7744343891402715,accuracy,24
130,KNeighborsClassifier,0.8548745372274784,0.7857723159193748,accuracy,25
131,KNeighborsClassifier,0.8548745372274784,0.7846359522830111,accuracy,26
132,KNeighborsClassifier,0.8673488276429453,0.7971153846153847,accuracy,27
133,KNeighborsClassifier,0.8673642533936652,0.7993109831345125,accuracy,28
134,KNeighborsClassifier,0.865091526120938,0.8027200740436035,accuracy,29
135,KNeighborsClassifier,0.8367441382147265,0.777781777046483,accuracy,30
136,KNeighborsClassifier,0.8299413821472645,0.7789489921842863,accuracy,31
137,KNeighborsClassifier,0.8299413821472645,0.7653434800493624,accuracy,32
138,KNeighborsClassifier,0.8299259563965447,0.7392893870835047,accuracy,33
139,KNeighborsClassifier,0.760823735088441,0.5917986425339365,accuracy,34
